抓取时间,交易日期,上证总市值_亿元,深证总市值_亿元,创业板总市值_亿元,科创板总市值_亿元
2026-06-09 22:00:07,20260609,668820.72,476457.1,208859.2,136517.13
2026-06-10 12:32:46,20260610,665722.73,467048.66,203307.36,135517.14
2026-06-11 19:19:43,20260611,665036.39,463860.99,201473.25,137015.02
2026-06-12 17:42:56,20260612,671527.64,468278.48,202954.7,136112.89
2026-06-17 18:02:53,20260617,685646.78,492694.54,219277.11,149369.09
2026-06-19 17:05:54,20260618,683288.73,495242.31,222154.07,154072.23
2026-06-22 20:14:48,20260622,695425.0,503650.94,226186.17,155341.07
2026-06-23 17:08:13,20260623,686152.73,491839.53,220026.63,153140.9
2026-06-24 16:38:08,20260624,689225.08,495555.96,222353.29,159432.22
2026-06-25 16:41:16,20260625,690562.48,499093.74,224806.99,162440.35
2026-06-26 16:30:40,20260626,674424.44,486433.66,216864.45,158611.29
